
0.2975,0.4133,0.0000,0.0199,0.1113,0.0347,0.0645,0.2062,0.6124,0.1910,0.2029
0.3306,0.5333,0.0000,0.0307,0.1478,0.0833,0.1406,0.1869,0.3721,0.2584,0.2609
0.3306,0.4533,0.0241,0.0261,0.1379,0.0486,0.1106,0.1908,0.4186,0.2416,0.2609
0.6116,0.1333,0.3373,0.0199,0.1096,0.0556,0.1244,0.2100,0.3411,0.2022,0.2609
0.2975,0.4133,0.0000,0.0199,0.1113,0.0347,0.0645,0.2062,0.6124,0.1910,0.2029
0.2975,0.3867,0.0000,0.0184,0.1096,0.0417,0.0783,0.2062,0.6124,0.1910,0.2029
0.3388,0.3467,0.0361,0.0153,0.0997,0.0486,0.1221,0.1792,0.4496,0.1348,0.2029
0.2893,0.3800,0.0000,0.0092,0.0930,0.0486,0.0346,0.1445,0.5194,0.1404,0.2899
0.3306,0.3333,0.0120,0.0215,0.1063,0.0278,0.0276,0.1869,0.4961,0.1966,0.2174
0.3058,0.2800,0.2169,0.0844,0.1030,0.0556,0.2212,0.2062,0.4884,0.3258,0.3623
0.2397,0.3333,0.0482,0.0184,0.1462,0.0486,0.1359,0.1696,0.4341,0.1798,0.1739
0.3058,0.2800,0.2169,0.0844,0.1030,0.0556,0.2212,0.2062,0.4884,0.3258,0.3623
0.1488,0.3567,0.0000,0.0153,0.1329,0.0521,0.1221,0.1387,0.6667,0.1685,0.2754
0.3306,0.3533,0.1747,0.0153,0.1744,0.0278,0.0530,0.1985,0.4186,0.7528,0.1594
0.4215,0.3600,0.1084,0.0491,0.2774,0.1771,0.3203,0.2216,0.3411,0.3708,0.1739
0.4215,0.3600,0.1145,0.0506,0.2674,0.1736,0.3272,0.2216,0.3488,0.3989,0.1739
0.3884,0.1333,0.3373,0.0184,0.1379,0.1181,0.2235,0.1888,0.4496,0.2978,0.3623
0.3554,0.3200,0.1687,0.0169,0.5963,0.0521,0.1152,0.1869,0.3023,0.5955,0.1884
0.2975,0.3400,0.0482,0.0583,0.1279,0.0174,0.0530,0.1985,0.5116,0.1573,0.1449
0.3388,0.1600,0.3072,0.0184,0.5515,0.0556,0.1152,0.1888,0.2481,0.4831,0.1739
0.4215,0.0933,0.2892,0.0184,0.1130,0.0972,0.1244,0.1869,0.5194,0.1742,0.2029
0.3140,0.2067,0.1867,0.0261,0.1213,0.0764,0.1498,0.2139,0.6202,0.2416,0.2464
0.3388,0.2333,0.1265,0.0153,0.1611,0.0312,0.0714,0.1830,0.3488,0.3876,0.2174
0.3884,0.2733,0.0663,0.0261,0.1246,0.0278,0.1406,0.1869,0.3488,0.1742,0.2029
0.2562,0.2133,0.0843,0.0276,0.1262,0.0694,0.0783,0.1869,0.5504,0.2303,0.2464
0.2066,0.2067,0.0964,0.0123,0.1179,0.0347,0.0392,0.1618,0.4806,0.1910,0.1884
0.3140,0.2200,0.1446,0.0184,0.1179,0.0104,0.0115,0.1753,0.4341,0.2079,0.2174
0.3388,0.2333,0.1265,0.0153,0.1611,0.0312,0.0714,0.1830,0.3488,0.3876,0.2174
0.2727,0.4200,0.0000,0.0199,0.1179,0.0451,0.0668,0.1946,0.5814,0.1854,0.2029
0.3306,0.3767,0.0000,0.0215,0.1213,0.0243,0.0230,0.1792,0.5116,0.2079,0.2609
0.2397,0.3967,0.0422,0.0276,0.1329,0.0556,0.1751,0.1676,0.4884,0.1798,0.3043
0.2562,0.4033,0.0000,0.0291,0.1595,0.0729,0.0714,0.1830,0.5736,0.1966,0.3768
0.3719,0.3833,0.0723,0.0261,0.1229,0.0486,0.2465,0.1830,0.3488,0.2472,0.2609
0.2562,0.3500,0.0723,0.1549,0.1063,0.1354,0.1774,0.2351,0.5659,0.1685,0.2029
0.1157,0.1600,0.1506,0.0184,0.1561,0.0417,0.1014,0.1657,0.5116,0.1854,0.1739
0.3306,0.3767,0.0000,0.0752,0.1279,0.0139,0.0276,0.2216,0.5271,0.1854,0.2319
0.3306,0.3467,0.0843,0.0276,0.1279,0.0069,0.0207,0.2004,0.5426,0.2135,0.4058
0.3554,0.2000,0.1687,0.0230,0.0947,0.0417,0.0553,0.1869,0.3953,0.2865,0.2464
